block_id,programme,taxon_or_scope,geographic_unit,phase_status,primary_required_now,primary_recommended,reserve_optional,tree_slot_overlap,net_new_required_now,net_new_recommended_with_reserve,core_material,authorization_gate,notes
TREE_P1,NATIONWIDE_TREE,33 species in zero-Moreyra blocks,per v7 sector ledgers,ACTIVE_TREE,66,66,0,0,66,66,target_capture_or_conservation_safe_equivalent+linked_traits,site_and_conservation_gate,Two representation slots per species; acquisition mode may be historical/herbarium rather than wild.
TREE_P2,NATIONWIDE_TREE,6 broken public tips,per v7 sector ledgers,ACTIVE_TREE,12,12,0,0,12,12,target_capture+linked_traits,site_and_conservation_gate,Two Japanese replacements per species.
TREE_P3,NATIONWIDE_TREE,44 species in sparse blocks,per v7 sector ledgers,ACTIVE_TREE,88,88,0,0,88,88,target_capture_or_conservation_safe_equivalent+linked_traits,site_and_conservation_gate,Includes C. brevicaule and C. irumtiense tree slots nested in M01 discovery plants.
TREE_P4,NATIONWIDE_TREE,16 species in partial blocks,per v7 sector ledgers,ACTIVE_TREE,32,32,0,0,32,32,target_capture_or_conservation_safe_equivalent+linked_traits,site_and_conservation_gate,Two representation slots per species.
TREE_P5,NATIONWIDE_TREE,2 local gaps,per v7 sector ledgers,ACTIVE_TREE,4,4,0,0,4,4,target_capture_or_conservation_safe_equivalent+linked_traits,site_and_conservation_gate,Two representation slots per species.
TREE_P6,NATIONWIDE_TREE,26 public-singleton species,complementary sector after provenance audit,ACTIVE_TREE,26,26,0,0,26,26,target_capture+linked_traits,public_locality_plus_site_and_conservation_gate,One own complement per species; C. dipsacolepis and C. lineare complements are nested in P02 RAD plants.
TREE_P7,NATIONWIDE_TREE,Cirsium incomptum,complementary sector after provenance audit,OPTIONAL_TRAIT_LINK,0,1,0,0,0,1,target_capture_or_trait_linked_DNA+traits,public_locality_plus_site_and_conservation_gate,Tree already has >=2 public representatives; own phenotype-linked plant is optional.
P02_J06,P02_RAD,Cirsium dipsacolepis,>=2 populations minimum; 3 recommended,ACTIVE_FOCAL,16,24,0,1,15,23,RAD+voucher+same_individual_traits+cytotype,current_occurrence+tissue_permission+conservation,One P02 minimum individual also fills the P6 own tree complement.
P02_J15,P02_RAD,Cirsium lineare,>=2 populations minimum; 3 recommended,ACTIVE_FOCAL,16,24,0,1,15,23,RAD+voucher+same_individual_traits+cytotype,current_occurrence+tissue_permission+conservation,One P02 minimum individual also fills the P6 own tree complement.
M01_BREV_OKI,M01_DISCOVERY,Cirsium brevicaule,Okinawa Honto,ACTIVE_FOCAL,15,15,3,1,14,17,DNA+photo+trait; pigment/RNA nested subset,current_occurrence+authorization,One primary individual fills the Okinawa tree slot; reserve is field/lab insurance not primary evidence by default.
M01_BREV_AMAMI,M01_DISCOVERY,Cirsium brevicaule,Amami Oshima,ACTIVE_FOCAL,15,15,3,1,14,17,DNA+photo+trait; pigment/RNA nested subset,current_occurrence+authorization,One primary individual fills the Amami tree slot.
M01_IRUM_MIYAKO,M01_DISCOVERY,Cirsium irumtiense,Miyako,ACTIVE_FOCAL,15,15,3,1,14,17,DNA+photo+trait; pigment/RNA nested subset,current_occurrence+authorization,One primary individual fills the Miyako tree slot.
M01_IRUM_ISHIGAKI,M01_DISCOVERY,Cirsium irumtiense,Ishigaki,ACTIVE_FOCAL,15,15,3,1,14,17,DNA+photo+trait; pigment/RNA nested subset,current_occurrence+authorization,One primary individual fills the Ishigaki tree slot; do not switch to Iriomote after outcome inspection.
M01_BREV_AMAMI_INT,M01_E3_EXPANSION,Cirsium brevicaule,one verified intermediate Amami-group population,CONDITIONAL_E3,0,15,0,0,0,15,DNA+photo,current_occurrence+authorization+pre_E2_freeze,Open only under the E3 expansion rule.
M01_BREV_AMAMI_S,M01_E3_EXPANSION,Cirsium brevicaule,Okinoerabu or Yoron class,CONDITIONAL_E3,0,15,0,0,0,15,DNA+photo,current_occurrence+authorization+pre_E2_freeze,Choose authorized candidate before genomic leverage is known.
M01_IRUM_IRIOMOTE,M01_E3_EXPANSION,Cirsium irumtiense,Iriomote,CONDITIONAL_E3,0,15,0,0,0,15,DNA+photo,current_occurrence+authorization,Not required for discovery RNA.
M01_IRUM_YONAGUNI,M01_E3_EXPANSION,Cirsium irumtiense,Yonaguni,CONDITIONAL_E3,0,15,0,0,0,15,DNA+photo,current_occurrence+authorization,Terminal/deep-divergence endpoint.
M01_OUT_MORII,M01_E1_BRACKET,Cirsium morii,Taiwan source population,MATERIAL_GAP_DEPENDENT,0,3,0,0,0,3,phenotype-confirmed fresh flower/pigment,collaborator_or_existing_material,Use existing suitable material if available; otherwise acquire 3.
M01_OUT_PENGII,M01_E1_BRACKET,Cirsium pengii,Taiwan source population,MATERIAL_GAP_DEPENDENT,0,3,0,0,0,3,phenotype-confirmed fresh flower/pigment,collaborator_or_existing_material,Immediate sister-clade coverage.
M01_OUT_TATAKAENSE,M01_E1_BRACKET,Cirsium tatakaense,Taiwan source population,MATERIAL_GAP_DEPENDENT,0,3,0,0,0,3,phenotype-confirmed fresh flower/pigment,collaborator_or_existing_material,Immediate sister-clade coverage.
M01_OUT_KAWAKAMII,M01_E1_BRACKET,Cirsium kawakamii,Taiwan source population,MATERIAL_GAP_DEPENDENT,0,3,0,0,0,3,phenotype-confirmed fresh flower/pigment,collaborator_or_existing_material,Immediate sister-clade coverage.
M01_OUT_ALBESCENS,M01_E1_BRACKET,Cirsium japonicum var. albescens,Taiwan Hengchun lineage,MATERIAL_GAP_DEPENDENT,0,3,0,0,0,3,phenotype-confirmed fresh flower/pigment,collaborator_or_existing_material,State-balanced deep bracket; not prevalence sampling.
M01_OUT_FUKIENENSE,M01_E1_BRACKET,Cirsium japonicum var. fukienense,Taiwan lineage,MATERIAL_GAP_DEPENDENT,0,3,0,0,0,3,phenotype-confirmed fresh flower/pigment,collaborator_or_existing_material,State-balanced deep bracket.
M01_CTRL_TAK_WHITE,M01_OPTIONAL_CONTROL,Cirsium japonicum var. takaoense white morph,Taiwan phenotype-confirmed source,OPTIONAL_CONTROL,0,3,0,0,0,3,flower+pigment; optional RNA collection,collaborator_or_existing_material,Not required for the focal M01 claim.
M01_CTRL_TAK_PURPLE,M01_OPTIONAL_CONTROL,Cirsium japonicum var. takaoense bluish-purple morph,Taiwan phenotype-confirmed source,OPTIONAL_CONTROL,0,3,0,0,0,3,flower+pigment; optional RNA collection,collaborator_or_existing_material,Paired assay-positive control only.
P01B_JPN36,P01B_FUNCTION,Cirsium sieboldii,one authorized verified population,CONDITIONAL_FUNCTION,0,24,0,0,0,24,live experimental plants+visitor_enemy_fitness endpoints,history_gate+site_permission+conservation+device_qualification,Do not assume tree representatives are eligible experimental plants; opens only after P01 history and authorization gates.
